section,filename,function,address,end
init,n_synallocvoice,n_alSynAllocVoice,0x1001DC80,0x1001DF3C
init,n_synallocvoice,_allocatePVoice,0x1001DF3C,0x1001E170
init,n_synstartvoiceparam,n_alSynStartVoiceParams,0x1001E170,0x1001E2A0
init,init_1E2A0,func_1001E2A0,0x1001E2A0,0x1001E350
init,init_1E350,func_1001E350,0x1001E350,0x1001E400
init,init_1E400,func_1001E400,0x1001E400,0x1001E480
init,init_1E480,n_alSynDelete,0x1001E480,0x1001E4A0
init,init_1E4A0,func_1001E4A0,0x1001E4A0,0x1001E530
init,init_1E530,func_1001E530,0x1001E530,0x1001ED6C
init,init_1E530,func_1001ED6C,0x1001ED6C,0x1001F28C
init,init_1E530,func_1001F28C,0x1001F28C,0x1001F5A4
init,init_1E530,func_1001F5A4,0x1001F5A4,0x1001F79C
init,init_1E530,func_1001F79C,0x1001F79C,0x1001F978
init,init_1E530,func_1001F978,0x1001F978,0x1001FA78
init,init_1E530,func_1001FA78,0x1001FA78,0x1001FB40
init,init_1FB40,func_1001FB40,0x1001FB40,0x1001FFE0
init,n_synsetpriority,n_alSynSetPriority,0x1001FFE0,0x10020000
init,init_20000,func_10020000,0x10020000,0x10020978
init,init_20000,n_alEnvmixerParam,0x10020978,0x10020ABC
init,init_20000,func_10020ABC,0x10020ABC,0x10020E18
init,init_20000,_getRate,0x10020E18,0x10021028
init,init_20000,_getVol,0x10021028,0x100210C0
init,init_210C0,func_100210C0,0x100210C0,0x100214F0
init,init_214F0,func_100214F0,0x100214F0,0x10021C40
init,init_214F0,func_10021C40,0x10021C40,0x10021E4C
init,init_214F0,func_10021E4C,0x10021E4C,0x10022040
init,init_22040,func_10022040,0x10022040,0x10022338
init,init_22040,n_alLoadParam,0x10022338,0x10022460
init,init_22460,func_10022460,0x10022460,0x100226F0
init,bzero,bzero,0x100226F0,0x10022790
init,initialize,__osInitialize_common,0x10022790,0x10022A30
init,setsr,__osSetSR,0x10022A30,0x10022A40
init,getsr,__osGetSR,0x10022A40,0x10022A50
init,setfpccsr,__osSetFpcCsr,0x10022A50,0x10022A60
init,startthread,osStartThread,0x10022A60,0x10022BB0
init,setthreadpri,osSetThreadPri,0x10022BB0,0x10022C90
init,invalicache,osInvalICache,0x10022C90,0x10022D10
init,invaldcache,osInvalDCache,0x10022D10,0x10022DC0
init,interrupt,__osDisableInt,0x10022DC0,0x10022DE0
init,interrupt,__osRestoreInt,0x10022DE0,0x10022E00
init,stopthread,osStopThread,0x10022E00,0x10022EC0
init,string,memcpy,0x10022EC0,0x10022EEC
init,string,strlen,0x10022EEC,0x10022F14
init,string,strchr,0x10022F14,0x10022F60
init,lldiv,lldiv,0x10022F60,0x10023060
init,ldiv,ldiv,0x10023060,0x100230F0
init,xlitob,_Litob,0x100230F0,0x10023390
init,ai,__osAiDeviceBusy,0x10023390,0x100233C0
init,virtualtophysical,osVirtualToPhysical,0x100233C0,0x10023440
init,recvmesg,osRecvMesg,0x10023440,0x10023580
init,sendmesg,osSendMesg,0x10023580,0x100236D0
init,piacs,__osPiCreateAccessQueue,0x100236D0,0x10023720
init,piacs,__osPiGetAccess,0x10023720,0x10023764
init,piacs,__osPiRelAccess,0x10023764,0x10023790
init,createmesgqueue,osCreateMesgQueue,0x10023790,0x100237C0
init,seteventmesg,osSetEventMesg,0x100237C0,0x10023830
init,getthreadpri,osGetThreadPri,0x10023830,0x10023850
init,pirawdma,osPiRawStartDma,0x10023850,0x10023930
init,epirawdma,osEPiRawStartDma,0x10023930,0x10023A10
init,bcopy,bcopy,0x10023A10,0x10023D20
init,writebackdcache,osWritebackDCache,0x10023D20,0x10023DA0
init,spsetstat,__osSpSetStatus,0x10023DA0,0x10023DB0
init,spsetpc,__osSpSetPc,0x10023DB0,0x10023DF0
init,sprawdma,__osSpRawStartDma,0x10023DF0,0x10023E80
init,sp,__osSpDeviceBusy,0x10023E80,0x10023EB0
init,timerintr,__osTimerServicesInit,0x10023EB0,0x10023F3C
